x,y,z,color
-0.5693054,-0.4600067,1.4194336,#6B8E23'
-0.5810852,-0.4626007,1.4345703,#6B8E23'
-0.5928955,-0.4651947,1.449707,#6B8E23'
-0.6047058,-0.46780396,1.4647217,#6B8E23'
-0.61654663,-0.46949768,1.4780273,#6B8E23'
-0.6284485,-0.4703064,1.489502,#6B8E23'
-0.64035034,-0.47109985,1.5010986,#6B8E23'
-0.6522522,-0.4718933,1.5125732,#6B8E23'
-0.66415405,-0.47270203,1.5240479,#6B8E23'
-0.6759949,-0.4733429,1.536499,#6B8E23'
-0.6878052,-0.47384644,1.5498047,#6B8E23'
-0.69958496,-0.47434998,1.5629883,#6B8E23'
-0.71139526,-0.47485352,1.576294,#6B8E23'
-0.72320557,-0.47535706,1.5895996,#6B8E23'
-0.73498535,-0.47584534,1.6029053,#6B8E23'
-0.74679565,-0.47634888,1.6162109,#6B8E23'
-0.7591858,-0.47659302,1.6276855,#6B8E23'
-0.7721863,-0.47659302,1.6373291,#6B8E23'
-0.78518677,-0.47659302,1.6468506,#6B8E23'
-0.79818726,-0.47659302,1.6564941,#6B8E23'
-0.8092041,-0.4764557,1.6662598,#6B8E23'
-0.8182068,-0.4761505,1.6762695,#6B8E23'
-0.8272095,-0.47584534,1.6862793,#6B8E23'
-0.83621216,-0.47555542,1.6962891,#6B8E23'
-0.84521484,-0.47525024,1.7062988,#6B8E23'
-0.854187,-0.47494507,1.7163086,#6B8E23'
-0.862854,-0.4750061,1.7247314,#6B8E23'
-0.8711548,-0.47540283,1.7314453,#6B8E23'
-0.87945557,-0.47579956,1.7382812,#6B8E23'
-0.88775635,-0.4761963,1.7451172,#6B8E23'
-0.8947449,-0.4780426,1.7503662,#6B8E23'
-0.90045166,-0.48135376,1.7540283,#6B8E23'
-0.90615845,-0.48464966,1.7576904,#6B8E23'
-0.9118347,-0.48794556,1.7614746,#6B8E23'
-0.9175415,-0.4912567,1.7651367,#6B8E23'
-0.9213562,-0.4967041,1.7709961,#6B8E23'
-0.9232483,-0.504303,1.7790527,#6B8E23'
-0.9251404,-0.51190186,1.7869873,#6B8E23'
-0.9259033,-0.5189972,1.7982178,#6B8E23'
-0.9255066,-0.52560425,1.8127441,#6B8E23'
-0.92510986,-0.53219604,1.8272705,#6B8E23'
-0.92471313,-0.5388031,1.8417969,#6B8E23'
-0.92526245,-0.54460144,1.8581543,#6B8E23'
-0.9267578,-0.5496063,1.8765869,#6B8E23'
-0.927063,-0.55345154,1.8952637,#6B8E23'
-0.92614746,-0.55615234,1.9143066,#6B8E23'
-0.92526245,-0.55885315,1.9333496,#6B8E23'
-0.9243469,-0.56155396,1.9522705,#6B8E23'
-0.9232483,-0.5633545,1.9718018,#6B8E23'
-0.92193604,-0.56425476,1.9918213,#6B8E23'
-0.9206543,-0.565155,2.0118408,#6B8E23'
-0.91934204,-0.5660553,2.0318604,#6B8E23'
-0.9180603,-0.56695557,2.0517578,#6B8E23'
-0.91674805,-0.5676575,2.0700684,#6B8E23'
-0.9154358,-0.56814575,2.08667,#6B8E23'
-0.91415405,-0.5686493,2.1032715,#6B8E23'
-0.9128418,-0.56915283,2.119873,#6B8E23'
-0.9107971,-0.5691986,2.1345215,#6B8E23'
-0.9079895,-0.5688019,2.1472168,#6B8E23'
-0.9052124,-0.56840515,2.159912,#6B8E23'
-0.9024048,-0.56799316,2.1726074,#6B8E23'
-0.89959717,-0.56759644,2.1853027,#6B8E23'
-0.8976135,-0.56799316,2.1964111,#6B8E23'
-0.8963928,-0.5691986,2.2058105,#6B8E23'
-0.89520264,-0.57040405,2.21521,#6B8E23'
-0.894989,-0.57225037,2.2227783,#6B8E23'
-0.895813,-0.5747528,2.2286377,#6B8E23'
-0.89660645,-0.57725525,2.234375,#6B8E23'
-0.8973999,-0.57974243,2.2402344,#6B8E23'
-0.89819336,-0.5822449,2.2459717,#6B8E23'
-0.9002075,-0.5858002,2.251587,#6B8E23'
-0.90341187,-0.59039307,2.256836,#6B8E23'
-0.9065857,-0.5950012,2.262207,#6B8E23'
-0.90979004,-0.5995941,2.267456,#6B8E23'
-0.9129944,-0.6042023,2.272705,#6B8E23'
-0.91830444,-0.60964966,2.2780762,#6B8E23'
-0.9256897,-0.61595154,2.2834473,#6B8E23'
-0.93310547,-0.6222534,2.2889404,#6B8E23'
-0.9404907,-0.6285553,2.2943115,#6B8E23'
-0.9479065,-0.6348572,2.2996826,#6B8E23'
-0.95529175,-0.6411438,2.3050537,#6B8E23'
-0.96398926,-0.6468048,2.312378,#6B8E23'
-0.973999,-0.65179443,2.3214111,#6B8E23'
-0.9840088,-0.6567993,2.3305664,#6B8E23'
-0.99398804,-0.6618042,2.3395996,#6B8E23'
-1.0039978,-0.6667938,2.348755,#6B8E23'
-1.0149536,-0.6713562,2.3601074,#6B8E23'
-1.0268555,-0.67544556,2.3735352,#6B8E23'
-1.0387573,-0.6795502,2.387085,#6B8E23'
-1.0506592,-0.6836548,2.4005127,#6B8E23'
-1.0625916,-0.6871033,2.4143066,#6B8E23'
-1.074585,-0.68989563,2.4284668,#6B8E23'
-1.0866089,-0.69270325,2.442505,#6B8E23'
