x,y,z,color
-1.4067993,-0.7716522,2.7583008,0
-1.4107971,-0.7813568,2.7733154,0
-1.4147949,-0.79104614,2.78833,0
-1.4187927,-0.80075073,2.8033447,0
-1.425354,-0.809906,2.8205566,0
-1.4344482,-0.8184967,2.840088,0
-1.4388428,-0.82510376,2.8597412,0
-1.4385376,-0.82969666,2.8797607,0
-1.4382629,-0.8343048,2.8997803,0
-1.4359436,-0.8365936,2.9195557,0
-1.4316406,-0.8365936,2.9388428,0
-1.4277954,-0.83680725,2.956665,0
-1.424408,-0.837204,2.9729004,0
-1.4216614,-0.83880615,2.9870605,0
-1.4195557,-0.8415985,2.9990234,0
-1.41745,-0.8444061,3.0109863,0
-1.41745,-0.84794617,3.020752,0
-1.4195557,-0.85224915,3.0280762,0
-1.4218445,-0.85694885,3.0350342,0
-1.4243469,-0.8620453,3.0413818,0
-1.4268494,-0.867157,3.0478516,0
-1.4309387,-0.873703,3.0535889,0
-1.4366455,-0.8816986,3.0585938,0
-1.4448853,-0.88964844,3.064209,0
-1.4556885,-0.8975525,3.0700684,0
-1.4664917,-0.90545654,3.0759277,0
-1.4776917,-0.9125061,3.085205,0
-1.4892883,-0.9187012,3.0977783,0
-1.5011902,-0.9243469,3.1108398,0
-1.5133972,-0.92944336,3.1243896,0
-1.526001,-0.9339447,3.1375732,0
-1.5390015,-0.93785095,3.1506348,0
-1.552002,-0.9417572,3.1635742,0
-1.5653076,-0.9449005,3.1761475,0
-1.5788879,-0.94729614,3.1881104,0
-1.5924988,-0.94970703,3.2000732,0
-1.6065979,-0.95170593,3.2126465,0
-1.6199036,-0.9531555,3.224121,0
-1.631897,-0.9544525,3.2340088,0
-1.6438904,-0.9557495,3.2438965,0
-1.6541138,-0.95684814,3.2502441,0
-1.6625061,-0.9577484,3.2530518,0
-1.6694946,-0.9602051,3.2559814,0
-1.6751099,-0.9642029,3.2589111,0
-1.6806946,-0.9682007,3.2617188,0
-1.6842957,-0.97450256,3.267456,0
-1.6859131,-0.98309326,3.276001,0
-1.6866455,-0.9901428,3.2875977,0
-1.686554,-0.99565125,3.3024902,0
-1.6864624,-1.0011444,3.317505,0
-1.6864929,-1.0052948,3.334961,0
-1.6867065,-1.0081024,3.3548584,0
-1.6864014,-1.0100555,3.374878,0
-1.6856079,-1.0111542,3.3948975,0
-1.6843567,-1.0120544,3.4143066,0
-1.6826477,-1.0127563,3.4329834,0
-1.6798096,-1.0132446,3.449463,0
